Marker Name,Marker Type,Marker Event Id,Marker Event Id 2,TimeStamp,TimeStamp2,value1,value2
Frame Marker,2,244,-1,3.76662,-1,-1,-1
Frame Marker,2,244,-1,3.79995,-1,-1,-1
Frame Marker,2,244,-1,3.8333,-1,-1,-1
Frame Marker,2,244,-1,3.86663,-1,-1,-1
Frame Marker,2,244,-1,3.89995,-1,-1,-1
Frame Marker,2,244,-1,3.9333,-1,-1,-1
Frame Marker,2,244,-1,3.96663,-1,-1,-1
Frame Marker,2,244,-1,3.99995,-1,-1,-1
Frame Marker,2,244,-1,4.0333,-1,-1,-1
Frame Marker,2,244,-1,4.06663,-1,-1,-1
Frame Marker,2,244,-1,4.09995,-1,-1,-1
Frame Marker,2,244,-1,4.1333,-1,-1,-1
Frame Marker,2,244,-1,4.16662,-1,-1,-1
Frame Marker,2,244,-1,4.19995,-1,-1,-1
Frame Marker,2,244,-1,4.2333,-1,-1,-1
Frame Marker,2,244,-1,4.26663,-1,-1,-1
Frame Marker,2,244,-1,4.29995,-1,-1,-1
Frame Marker,2,244,-1,4.3333,-1,-1,-1
Frame Marker,2,244,-1,4.36663,-1,-1,-1
Frame Marker,2,244,-1,4.39995,-1,-1,-1
Frame Marker,2,244,-1,4.4333,-1,-1,-1
Frame Marker,2,244,-1,4.46662,-1,-1,-1
Frame Marker,2,244,-1,4.49995,-1,-1,-1
Frame Marker,2,244,-1,4.5333,-1,-1,-1
Frame Marker,2,244,-1,4.56663,-1,-1,-1
Frame Marker,2,244,-1,4.59995,-1,-1,-1
Frame Marker,2,244,-1,4.63328,-1,-1,-1
Frame Marker,2,244,-1,4.66662,-1,-1,-1
Frame Marker,2,244,-1,4.69995,-1,-1,-1
Frame Marker,2,244,-1,4.73327,-1,-1,-1
Frame Marker,2,244,-1,4.76663,-1,-1,-1
Frame Marker,2,244,-1,4.79995,-1,-1,-1
Frame Marker,2,244,-1,4.83328,-1,-1,-1
Frame Marker,2,244,-1,4.86663,-1,-1,-1
Frame Marker,2,244,-1,4.89995,-1,-1,-1
Frame Marker,2,244,-1,4.93328,-1,-1,-1
Frame Marker,2,244,-1,4.96662,-1,-1,-1
Frame Marker,2,244,-1,4.99995,-1,-1,-1
Frame Marker,2,244,-1,5.03327,-1,-1,-1
Frame Marker,2,244,-1,5.06663,-1,-1,-1
Frame Marker,2,244,-1,5.09995,-1,-1,-1
Frame Marker,2,244,-1,5.13328,-1,-1,-1
Frame Marker,2,244,-1,5.16662,-1,-1,-1
Frame Marker,2,244,-1,5.19995,-1,-1,-1
Frame Marker,2,244,-1,5.23327,-1,-1,-1
Frame Marker,2,244,-1,5.26663,-1,-1,-1
Frame Marker,2,244,-1,5.29995,-1,-1,-1
Frame Marker,2,244,-1,5.33328,-1,-1,-1
Frame Marker,2,244,-1,5.36663,-1,-1,-1
Frame Marker,2,244,-1,5.39995,-1,-1,-1
Frame Marker,2,244,-1,5.43328,-1,-1,-1
Frame Marker,2,244,-1,5.4666,-1,-1,-1
Frame Marker,2,244,-1,5.49995,-1,-1,-1
Frame Marker,2,244,-1,5.53327,-1,-1,-1
Frame Marker,2,244,-1,5.5666,-1,-1,-1
Frame Marker,2,244,-1,5.59995,-1,-1,-1
Frame Marker,2,244,-1,5.63328,-1,-1,-1
Frame Marker,2,244,-1,5.6666,-1,-1,-1
Frame Marker,2,244,-1,5.69995,-1,-1,-1
Frame Marker,2,244,-1,5.73327,-1,-1,-1
Frame Marker,2,244,-1,5.7666,-1,-1,-1
Frame Marker,2,244,-1,5.79995,-1,-1,-1
Frame Marker,2,244,-1,5.83328,-1,-1,-1
Frame Marker,2,244,-1,5.8666,-1,-1,-1
Frame Marker,2,244,-1,5.89995,-1,-1,-1
Frame Marker,2,244,-1,5.93328,-1,-1,-1
Frame Marker,2,244,-1,5.9666,-1,-1,-1
Frame Marker,2,244,-1,5.99995,-1,-1,-1
Frame Marker,2,244,-1,6.03327,-1,-1,-1
Frame Marker,2,244,-1,6.0666,-1,-1,-1
Frame Marker,2,244,-1,6.09995,-1,-1,-1
Frame Marker,2,244,-1,6.13328,-1,-1,-1
Frame Marker,2,244,-1,6.1666,-1,-1,-1
Frame Marker,2,244,-1,6.19995,-1,-1,-1
Frame Marker,2,244,-1,6.23327,-1,-1,-1
Frame Marker,2,244,-1,6.2666,-1,-1,-1
Frame Marker,2,244,-1,6.29993,-1,-1,-1
Frame Marker,2,244,-1,6.33328,-1,-1,-1
Frame Marker,2,244,-1,6.3666,-1,-1,-1
Frame Marker,2,244,-1,6.39992,-1,-1,-1
Frame Marker,2,244,-1,6.43328,-1,-1,-1
Frame Marker,2,244,-1,6.4666,-1,-1,-1
Frame Marker,2,244,-1,6.49993,-1,-1,-1
Frame Marker,2,244,-1,6.53327,-1,-1,-1
Frame Marker,2,244,-1,6.5666,-1,-1,-1
Frame Marker,2,244,-1,6.59992,-1,-1,-1
Frame Marker,2,244,-1,6.63328,-1,-1,-1
Frame Marker,2,244,-1,6.6666,-1,-1,-1
Frame Marker,2,244,-1,6.69993,-1,-1,-1
Frame Marker,2,244,-1,6.73327,-1,-1,-1
Frame Marker,2,244,-1,6.7666,-1,-1,-1
Frame Marker,2,244,-1,6.79993,-1,-1,-1
Frame Marker,2,244,-1,6.83328,-1,-1,-1
Frame Marker,2,244,-1,6.8666,-1,-1,-1
Frame Marker,2,244,-1,6.89992,-1,-1,-1
Frame Marker,2,244,-1,6.93328,-1,-1,-1
Frame Marker,2,244,-1,6.9666,-1,-1,-1
Frame Marker,2,244,-1,6.99993,-1,-1,-1
Frame Marker,2,244,-1,7.03327,-1,-1,-1
Frame Marker,2,244,-1,7.0666,-1,-1,-1
Frame Marker,2,244,-1,7.09992,-1,-1,-1
Frame Marker,2,244,-1,7.13325,-1,-1,-1
Frame Marker,2,244,-1,7.1666,-1,-1,-1
Frame Marker,2,244,-1,7.19993,-1,-1,-1
Frame Marker,2,244,-1,7.23325,-1,-1,-1
Frame Marker,2,244,-1,7.2666,-1,-1,-1
Frame Marker,2,244,-1,7.29993,-1,-1,-1
Frame Marker,2,244,-1,7.33325,-1,-1,-1
Frame Marker,2,244,-1,7.3666,-1,-1,-1
Frame Marker,2,244,-1,7.39992,-1,-1,-1
Frame Marker,2,244,-1,7.43325,-1,-1,-1
Frame Marker,2,244,-1,7.4666,-1,-1,-1
Frame Marker,2,244,-1,7.49993,-1,-1,-1
Frame Marker,2,244,-1,7.53325,-1,-1,-1
Frame Marker,2,244,-1,7.5666,-1,-1,-1
Frame Marker,2,244,-1,7.59992,-1,-1,-1
Frame Marker,2,244,-1,7.63325,-1,-1,-1
Frame Marker,2,244,-1,7.6666,-1,-1,-1
Frame Marker,2,244,-1,7.69993,-1,-1,-1
Frame Marker,2,244,-1,7.73325,-1,-1,-1
Frame Marker,2,244,-1,7.7666,-1,-1,-1
Frame Marker,2,244,-1,7.79993,-1,-1,-1
Frame Marker,2,244,-1,7.83325,-1,-1,-1
Frame Marker,2,244,-1,7.8666,-1,-1,-1
Frame Marker,2,244,-1,7.89992,-1,-1,-1
Frame Marker,2,244,-1,7.93325,-1,-1,-1
Frame Marker,2,244,-1,7.96657,-1,-1,-1
Frame Marker,2,244,-1,7.99993,-1,-1,-1
Frame Marker,2,244,-1,8.03325,-1,-1,-1
Frame Marker,2,244,-1,8.06658,-1,-1,-1
Frame Marker,2,244,-1,8.09993,-1,-1,-1
Frame Marker,2,244,-1,8.13325,-1,-1,-1
Frame Marker,2,244,-1,8.16657,-1,-1,-1
Frame Marker,2,244,-1,8.19993,-1,-1,-1
Frame Marker,2,244,-1,8.23325,-1,-1,-1
Frame Marker,2,244,-1,8.26657,-1,-1,-1
Frame Marker,2,244,-1,8.29993,-1,-1,-1
Frame Marker,2,244,-1,8.33325,-1,-1,-1
Frame Marker,2,244,-1,8.36657,-1,-1,-1
Frame Marker,2,244,-1,8.39992,-1,-1,-1
Frame Marker,2,244,-1,8.43325,-1,-1,-1
Frame Marker,2,244,-1,8.46658,-1,-1,-1
Frame Marker,2,244,-1,8.49992,-1,-1,-1
Frame Marker,2,244,-1,8.53325,-1,-1,-1
Frame Marker,2,244,-1,8.56658,-1,-1,-1
Frame Marker,2,244,-1,8.59993,-1,-1,-1
Frame Marker,2,244,-1,8.63325,-1,-1,-1
Frame Marker,2,244,-1,8.66657,-1,-1,-1
Frame Marker,2,244,-1,8.69993,-1,-1,-1
Frame Marker,2,244,-1,8.73325,-1,-1,-1
Frame Marker,2,244,-1,8.76657,-1,-1,-1
Frame Marker,2,244,-1,8.7999,-1,-1,-1
Frame Marker,2,244,-1,8.83325,-1,-1,-1
Frame Marker,2,244,-1,8.86657,-1,-1,-1
Frame Marker,2,244,-1,8.8999,-1,-1,-1
Frame Marker,2,244,-1,8.93325,-1,-1,-1
Frame Marker,2,244,-1,8.96658,-1,-1,-1
Frame Marker,2,244,-1,8.9999,-1,-1,-1
Frame Marker,2,244,-1,9.03325,-1,-1,-1
Frame Marker,2,244,-1,9.06658,-1,-1,-1
Frame Marker,2,244,-1,9.0999,-1,-1,-1
Frame Marker,2,244,-1,9.13325,-1,-1,-1
Frame Marker,2,244,-1,9.16657,-1,-1,-1
Frame Marker,2,244,-1,9.1999,-1,-1,-1
Frame Marker,2,244,-1,9.23325,-1,-1,-1
Frame Marker,2,244,-1,9.26657,-1,-1,-1
Frame Marker,2,244,-1,9.2999,-1,-1,-1
Frame Marker,2,244,-1,9.33325,-1,-1,-1
Frame Marker,2,244,-1,9.36657,-1,-1,-1
Frame Marker,2,244,-1,9.3999,-1,-1,-1
Frame Marker,2,244,-1,9.43325,-1,-1,-1
Frame Marker,2,244,-1,9.46658,-1,-1,-1
Frame Marker,2,244,-1,9.4999,-1,-1,-1
Frame Marker,2,244,-1,9.53325,-1,-1,-1
Frame Marker,2,244,-1,9.56658,-1,-1,-1
Frame Marker,2,244,-1,9.5999,-1,-1,-1
Frame Marker,2,244,-1,9.63322,-1,-1,-1
Frame Marker,2,244,-1,9.66657,-1,-1,-1
