marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,16.9665,22.7664,5.799900000000001,1,1,1,5.799900000000001
North West,46.7329,47.3329,0.6000000000000014,1,2,1,6.399900000000002
North West,92.2324,93.6657,1.4333000000000027,1,3,2,7.833200000000005
North West,113.032,114.332,1.2999999999999972,1,4,2,9.133200000000002
North West,116.766,121.599,4.832999999999998,1,5,2,13.9662
North West,136.832,138.665,1.8329999999999984,1,6,3,15.799199999999999
North West,140.732,145.732,5,1,7,3,20.7992
North West,146.465,147.399,0.9339999999999975,1,8,3,21.733199999999997
North West,162.232,164.265,2.032999999999987,1,9,3,23.766199999999984
North West,182.798,184.665,1.8669999999999902,1,10,4,25.633199999999974
North West,234.464,240.731,6.266999999999996,1,11,4,31.90019999999997
North West,242.764,244.264,1.5,1,12,5,33.40019999999997
North West,260.731,262.797,2.066000000000031,1,13,5,35.4662
North West,276.097,277.897,1.8000000000000114,1,14,5,37.26620000000001
North West,304.03,305.33,1.3000000000000114,1,15,6,38.56620000000002
South East,8.76657,14.3999,5.633330000000001,1,1,1,5.633330000000001
South East,33.8997,36.3996,2.4998999999999967,1,2,1,8.133229999999998
South East,61.7661,64.966,3.1998999999999924,1,3,2,11.33312999999999
South East,82.2325,84.0991,1.8666000000000054,1,4,2,13.199729999999995
South East,86.2325,91.5324,5.299899999999994,1,5,2,18.49962999999999
South East,105.732,109.099,3.3670000000000044,1,6,2,21.866629999999994
South East,128.099,128.532,0.43300000000002115,1,7,3,22.299630000000015
South East,153.465,155.665,2.1999999999999886,1,8,3,24.499630000000003
South East,189.531,193.965,4.4339999999999975,1,9,4,28.93363
South East,197.531,197.965,0.4339999999999975,1,10,4,29.36763
South East,198.898,204.831,5.932999999999993,1,11,4,35.30062999999999
South East,219.664,220.531,0.8670000000000186,1,12,4,36.16763000000001
South East,221.164,224.164,3,1,13,4,39.16763000000001
South East,231.398,232.031,0.6330000000000098,1,14,4,39.80063000000002
South East,270.031,271.731,1.6999999999999886,1,15,5,41.50063000000001
South East,284.597,286.23,1.6330000000000382,1,16,5,43.133630000000046
South East,289.897,291.03,1.1329999999999814,1,17,5,44.26663000000003
South East,294.83,300.53,5.699999999999989,1,18,5,49.966630000000016
