marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,21.5998,29.533,7.933200000000003,1,1,1,7.933200000000003
North West,37.9996,39.7329,1.7332999999999998,1,2,1,9.666500000000003
North West,83.0992,85.8658,2.766599999999997,1,3,2,12.4331
North West,110.666,124.165,13.49900000000001,1,4,2,25.93210000000001
North West,124.999,126.999,2,1,5,3,27.93210000000001
North West,157.165,158.665,1.5,1,6,3,29.43210000000001
North West,169.798,177.365,7.567000000000007,1,7,3,36.99910000000001
North West,178.532,180.932,2.3999999999999773,1,8,3,39.39909999999999
North West,191.431,194.931,3.5,1,9,4,42.89909999999999
North West,195.498,197.865,2.3670000000000186,1,10,4,45.26610000000001
South East,15.1665,16.4998,1.3333000000000013,1,1,1,1.3333000000000013
South East,42.5329,45.5996,3.0667000000000044,1,2,1,4.400000000000006
South East,46.4329,49.1662,2.733300000000007,1,3,1,7.133300000000013
South East,62.7994,63.2327,0.4333000000000027,1,4,2,7.566600000000015
South East,77.2992,78.4992,1.2000000000000028,1,5,2,8.766600000000018
South East,89.4991,90.0324,0.533299999999997,1,6,2,9.299900000000015
South East,101.799,105.866,4.066999999999993,1,7,2,13.366900000000008
South East,106.866,107.732,0.8659999999999997,1,8,2,14.232900000000008
South East,137.365,139.499,2.133999999999986,1,9,3,16.366899999999994
South East,146.032,149.232,3.1999999999999886,1,10,3,19.566899999999983
