marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,31.3664,33.5997,2.2333,1,1,1,2.2333
North West,34.533,35.0996,0.5666000000000011,1,2,1,2.799900000000001
North West,35.8663,36.533,0.6666999999999987,1,3,1,3.4665999999999997
North West,40.4329,43.8995,3.466600000000007,1,4,1,6.9332000000000065
North West,58.8661,61.0327,2.1665999999999954,1,5,1,9.099800000000002
North West,66.466,67.166,0.7000000000000028,1,6,2,9.799800000000005
North West,87.9658,90.7324,2.766599999999997,1,7,2,12.566400000000002
North West,149.465,152.032,2.5670000000000073,1,8,3,15.133400000000009
North West,152.598,154.232,1.6339999999999861,1,9,3,16.767399999999995
North West,171.932,178.965,7.0330000000000155,1,10,3,23.80040000000001
North West,182.798,186.665,3.8669999999999902,1,11,4,27.6674
South East,12.8999,15.0999,2.1999999999999993,1,1,1,2.1999999999999993
South East,16.5332,19.0331,2.4999000000000002,1,2,1,4.6998999999999995
South East,21.0331,23.4331,2.3999999999999986,1,3,1,7.099899999999998
South East,23.9664,30.233,6.2666,1,4,1,13.366499999999998
South East,92.3658,93.4657,1.0999000000000052,1,5,2,14.466400000000004
South East,111.532,112.299,0.7670000000000101,1,6,2,15.233400000000014
South East,128.865,136.599,7.7339999999999804,1,7,3,22.967399999999994
South East,141.432,144.165,2.733000000000004,1,8,3,25.7004
South East,155.798,158.032,2.234000000000009,1,9,3,27.934400000000007
South East,168.032,171.365,3.3329999999999984,1,10,3,31.267400000000006
