marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,21.2331,22.0331,0.8000000000000007,1,1,1,0.8000000000000007
North West,75.5992,81.2325,5.6333000000000055,1,2,2,6.433300000000006
North West,81.7325,84.8325,3.0999999999999943,1,3,2,9.5333
North West,99.899,100.599,0.7000000000000028,1,4,2,10.233300000000003
North West,118.899,125.032,6.132999999999996,1,5,2,16.3663
North West,154.298,157.165,2.8669999999999902,1,6,3,19.23329999999999
North West,159.598,161.665,2.066999999999979,1,7,3,21.300299999999968
North West,193.665,198.665,5,1,8,4,26.300299999999968
North West,201.898,202.798,0.9000000000000057,1,9,4,27.200299999999974
North West,223.664,227.898,4.234000000000009,1,10,4,31.434299999999983
North West,262.397,263.964,1.5670000000000073,1,11,5,33.001299999999986
North West,300.964,309.364,8.399999999999977,1,12,6,41.401299999999964
North West,312.464,313.73,1.2660000000000196,1,13,6,42.66729999999998
South East,45.8329,50.2328,4.399899999999995,1,1,1,4.399899999999995
South East,58.0328,59.7327,1.6998999999999995,1,2,1,6.099799999999995
South East,125.732,127.232,1.5,1,3,3,7.599799999999995
South East,146.899,153.665,6.765999999999991,1,4,3,14.365799999999986
South East,162.232,165.465,3.233000000000004,1,5,3,17.59879999999999
South East,205.531,214.231,8.699999999999989,1,6,4,26.29879999999998
South East,216.598,217.898,1.299999999999983,1,7,4,27.59879999999996
South East,232.464,236.031,3.5670000000000073,1,8,4,31.16579999999997
South East,237.098,239.331,2.2329999999999757,1,9,4,33.398799999999945
South East,245.731,247.331,1.5999999999999943,1,10,5,34.99879999999994
South East,248.798,249.098,0.30000000000001137,1,11,5,35.29879999999995
South East,250.598,252.031,1.4329999999999927,1,12,5,36.73179999999994
South East,254.531,254.964,0.4329999999999927,1,13,5,37.164799999999936
South East,290.83,293.53,2.6999999999999886,1,14,5,39.864799999999924
