marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,34.733,36.5663,1.8333000000000013,1,1,1,1.8333000000000013
North West,38.5663,40.8663,2.3000000000000043,1,2,1,4.1333000000000055
North West,42.1329,49.2995,7.1666000000000025,1,3,1,11.299900000000008
North West,59.6327,60.566,0.9333000000000027,1,4,1,12.23320000000001
North West,95.5657,99.5657,4,1,5,2,16.23320000000001
North West,100.199,101.566,1.3670000000000044,1,6,2,17.600200000000015
North West,110.366,111.999,1.6329999999999956,1,7,2,19.23320000000001
North West,138.432,140.265,1.8329999999999984,1,8,3,21.06620000000001
North West,164.932,171.765,6.832999999999998,1,9,3,27.899200000000008
North West,173.298,177.565,4.266999999999996,1,10,3,32.1662
North West,181.698,184.198,2.5,1,11,4,34.6662
North West,205.798,207.431,1.6330000000000098,1,12,4,36.29920000000001
North West,221.364,222.431,1.0670000000000073,1,13,4,37.36620000000002
North West,223.798,224.998,1.1999999999999886,1,14,4,38.56620000000001
North West,240.298,242.564,2.265999999999991,1,15,5,40.8322
North West,266.864,274.631,7.766999999999996,1,16,5,48.599199999999996
North West,278.797,280.364,1.5669999999999504,1,17,5,50.16619999999995
North West,282.997,284.564,1.5670000000000073,1,18,5,51.733199999999954
North West,285.797,288.297,2.5,1,19,5,54.233199999999954
North West,297.697,301.264,3.5670000000000073,1,20,5,57.80019999999996
South East,3.79995,8.9999,5.19995,1,1,1,5.19995
South East,50.4995,53.7328,3.2333,1,2,1,8.433250000000001
South East,108.632,109.732,1.0999999999999943,1,3,2,9.533249999999995
South East,128.932,133.365,4.433000000000021,1,4,3,13.966250000000016
South East,146.199,150.132,3.9329999999999927,1,5,3,17.89925000000001
South East,152.132,155.365,3.233000000000004,1,6,3,21.132250000000013
South East,185.065,185.931,0.8660000000000139,1,7,4,21.998250000000027
South East,208.231,212.698,4.467000000000013,1,8,4,26.46525000000004
South East,213.365,216.631,3.265999999999991,1,9,4,29.73125000000003
South East,238.698,239.364,0.6659999999999968,1,10,4,30.397250000000028
South East,255.197,256.064,0.8670000000000186,1,11,5,31.264250000000047
South East,282.197,282.564,0.36700000000001864,1,12,5,31.631250000000065
