marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,20.2331,29.233,8.9999,1,1,1,8.9999
North West,46.1662,51.3995,5.2333,1,2,1,14.2332
North West,56.2661,57.8994,1.6332999999999984,1,3,1,15.866499999999998
North West,77.8992,80.3992,2.5,1,4,2,18.3665
North West,89.3324,89.7324,0.3999999999999915,1,5,2,18.76649999999999
North West,107.766,116.966,9.199999999999989,1,6,2,27.96649999999998
North West,140.165,142.532,2.3670000000000186,1,7,3,30.333499999999997
North West,171.265,173.965,2.700000000000017,1,8,3,33.03350000000002
North West,178.398,179.832,1.4339999999999975,1,9,3,34.467500000000015
South East,10.8332,19.1665,8.3333,1,1,1,8.3333
South East,58.8994,61.5994,2.700000000000003,1,2,1,11.033300000000002
South East,90.8991,92.3324,1.4333000000000027,1,3,2,12.466600000000005
South East,158.965,162.298,3.3329999999999984,1,4,3,15.799600000000003
South East,187.231,189.331,2.0999999999999943,1,5,4,17.8996
South East,199.531,200.465,0.9339999999999975,1,6,4,18.833599999999997
South East,203.731,205.665,1.9339999999999975,1,7,4,20.767599999999995
