marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,10.1666,13.2999,3.1332999999999984,1,1,1,3.1332999999999984
North West,36.5996,38.6663,2.0666999999999973,1,2,1,5.199999999999996
North West,53.0328,55.3995,2.3667000000000016,1,3,1,7.566699999999997
North West,74.2993,77.0326,2.7333,1,4,2,10.299999999999997
North West,178.032,179.298,1.2659999999999911,1,5,3,11.565999999999988
North West,194.031,194.865,0.8340000000000032,1,6,4,12.399999999999991
North West,303.597,313.864,10.266999999999996,1,7,6,22.666999999999987
South East,27.9664,31.3997,3.433299999999999,1,1,1,3.433299999999999
South East,47.2328,48.7995,1.5667000000000044,1,2,1,5.0000000000000036
South East,50.5328,52.3995,1.8667000000000016,1,3,1,6.866700000000005
South East,56.2328,59.1661,2.9333000000000027,1,4,1,9.800000000000008
South East,66.2993,70.5993,4.299999999999997,1,5,2,14.100000000000005
South East,83.0325,83.8992,0.8666999999999945,1,6,2,14.9667
South East,110.032,111.866,1.8340000000000032,1,7,2,16.800700000000003
South East,115.966,118.099,2.1330000000000098,1,8,2,18.933700000000012
South East,153.365,154.232,0.8669999999999902,1,9,3,19.800700000000003
South East,207.298,208.465,1.1670000000000016,1,10,4,20.967700000000004
South East,211.531,212.098,0.5670000000000073,1,11,4,21.53470000000001
South East,221.898,225.964,4.0660000000000025,1,12,4,25.600700000000014
South East,237.864,247.864,10,1,13,4,35.60070000000002
South East,251.664,261.164,9.5,1,14,5,45.10070000000002
South East,282.664,284.93,2.2660000000000196,1,15,5,47.36670000000004
South East,291.43,293.464,2.033999999999992,1,16,5,49.40070000000003
South East,294.664,297.03,2.3659999999999854,1,17,5,51.766700000000014
