marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,23.9331,26.9664,3.0333000000000006,1,1,1,3.0333000000000006
North West,34.333,35.0663,0.7332999999999998,1,2,1,3.7666000000000004
North West,41.6329,48.9995,7.366599999999998,1,3,1,11.133199999999999
North West,125.499,127.265,1.7660000000000053,1,4,3,12.899200000000004
North West,128.132,131.432,3.299999999999983,1,5,3,16.199199999999987
North West,144.332,145.765,1.4329999999999927,1,6,3,17.63219999999998
North West,150.065,152.265,2.1999999999999886,1,7,3,19.83219999999997
North West,153.065,154.632,1.5670000000000073,1,8,3,21.399199999999976
North West,163.698,171.432,7.7339999999999804,1,9,3,29.133199999999956
North West,214.265,215.065,0.8000000000000114,1,10,4,29.933199999999967
North West,216.065,216.565,0.5,1,11,4,30.433199999999967
North West,241.064,241.631,0.5670000000000073,1,12,5,31.000199999999975
North West,291.63,298.897,7.266999999999996,1,13,5,38.267199999999974
North West,299.997,303.197,3.1999999999999886,1,14,5,41.46719999999996
South East,9.73322,13.7998,4.06658,1,1,1,4.06658
South East,14.2332,15.6665,1.4332999999999991,1,2,1,5.499879999999999
South East,62.3994,64.4994,2.0999999999999943,1,3,2,7.5998799999999935
South East,77.0659,85.2658,8.1999,1,4,2,15.799779999999993
South East,85.8325,89.8991,4.066600000000008,1,5,2,19.86638
South East,120.265,124.899,4.634,1,6,3,24.50038
South East,138.565,139.332,0.7669999999999959,1,7,3,25.267379999999996
South East,155.698,157.332,1.6339999999999861,1,8,3,26.901379999999982
South East,220.131,221.764,1.6330000000000098,1,9,4,28.53437999999999
South East,237.464,239.631,2.1670000000000016,1,10,4,30.701379999999993
South East,270.397,273.697,3.3000000000000114,1,11,5,34.001380000000005
South East,312.13,312.13,0,1,12,6,34.001380000000005
