marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,13.3332,15.8999,2.566700000000001,1,1,1,2.566700000000001
North West,40.2329,42.2996,2.0666999999999973,1,2,1,4.633399999999998
North West,46.5995,50.7328,4.133299999999998,1,3,1,8.766699999999997
North West,59.2328,59.8994,0.6666000000000025,1,4,1,9.4333
North West,91.5324,97.3657,5.833300000000008,1,5,2,15.266600000000007
North West,100.866,103.099,2.233000000000004,1,6,2,17.49960000000001
North West,226.964,231.031,4.067000000000007,1,7,4,21.56660000000002
North West,246.031,254.597,8.5660000000000025,1,8,5,30.13260000000002
North West,265.164,266.731,1.5670000000000073,1,9,5,31.69960000000003
North West,286.23,286.797,0.5670000000000073,1,10,5,32.26660000000004
North West,309.664,312.23,2.566000000000031,1,11,6,34.83260000000007
North West,314.664,318.23,3.566000000000031,1,12,6,38.3986000000001
South East,17.5331,24.5998,7.066699999999997,1,1,1,7.066699999999997
South East,28.733,34.533,5.800000000000001,1,2,1,12.866699999999998
South East,35.4663,36.2996,0.8333000000000013,1,3,1,13.7
South East,148.299,166.165,17.865999999999985,1,4,3,31.565999999999985
South East,167.532,181.665,14.132999999999981,1,5,3,45.69899999999997
South East,182.865,188.298,5.432999999999993,1,6,4,51.13199999999996
South East,189.331,198.098,8.767000000000024,1,7,4,59.89899999999999
South East,200.831,201.165,0.3340000000000032,1,8,4,60.23299999999999
South East,204.665,211.098,6.433000000000021,1,9,4,66.66600000000001
South East,235.298,235.664,0.36599999999998545,1,10,4,67.032
South East,302.397,304.53,2.1329999999999814,1,11,6,69.16499999999998
