marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,29.233,31.733,2.5,1,1,1,2.5
North West,46.7329,50.2995,3.566600000000001,1,2,1,6.066600000000001
North West,81.6659,86.5325,4.866600000000005,1,3,2,10.933200000000006
North West,95.2324,97.599,2.3666000000000054,1,4,2,13.299800000000012
North West,112.366,113.732,1.3659999999999997,1,5,2,14.665800000000011
North West,128.032,129.665,1.6329999999999814,1,6,3,16.298799999999993
North West,204.098,209.231,5.132999999999981,1,7,4,21.431799999999974
North West,218.964,219.964,1,1,8,4,22.431799999999974
North West,275.031,275.531,0.5,1,9,5,22.931799999999974
North West,284.797,285.164,0.3669999999999618,1,10,5,23.298799999999936
North West,299.53,299.964,0.4340000000000259,1,11,5,23.732799999999962
North West,301.664,306.464,4.800000000000011,1,12,6,28.532799999999973
South East,6.33328,9.2999,2.966619999999999,1,1,1,2.966619999999999
South East,39.2996,41.0329,1.7332999999999998,1,2,1,4.699919999999999
South East,62.3661,63.0327,0.6665999999999954,1,3,2,5.366519999999994
South East,91.7324,92.2324,0.5,1,4,2,5.866519999999994
South East,136.365,139.165,2.799999999999983,1,5,3,8.666519999999977
South East,186.098,186.898,0.799999999999983,1,6,4,9.46651999999996
South East,189.865,190.165,0.29999999999998295,1,7,4,9.766519999999943
South East,200.231,202.798,2.5670000000000073,1,8,4,12.33351999999995
South East,247.864,249.031,1.1670000000000016,1,9,5,13.500519999999952
South East,289.964,290.464,0.5,1,10,5,14.000519999999952
South East,297.597,298.297,0.7000000000000455,1,11,5,14.700519999999997
