marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,19.6665,25.5331,5.866600000000002,1,1,1,5.866600000000002
North West,27.3664,28.033,0.6666000000000025,1,2,1,6.533200000000004
North West,32.1664,35.233,3.066599999999994,1,3,1,9.599799999999998
North West,62.8661,70.8993,8.033199999999994,1,4,2,17.632999999999992
North West,107.966,108.366,0.4000000000000057,1,5,2,18.032999999999998
North West,114.299,115.665,1.3659999999999997,1,6,2,19.398999999999997
North West,137.532,138.465,0.9329999999999927,1,7,3,20.33199999999999
North West,149.932,150.298,0.36600000000001387,1,8,3,20.698000000000004
North West,157.898,161.465,3.5670000000000073,1,9,3,24.26500000000001
North West,170.732,171.798,1.0660000000000025,1,10,3,25.331000000000014
North West,180.032,181.532,1.5,1,11,4,26.831000000000014
South East,9.7999,11.2332,1.433300000000001,1,1,1,1.433300000000001
South East,13.8665,14.3665,0.5,1,2,1,1.933300000000001
South East,30.6664,31.2997,0.633300000000002,1,3,1,2.566600000000003
South East,80.2992,82.0325,1.7332999999999998,1,4,2,4.299900000000003
South East,82.5992,88.2991,5.6998999999999995,1,5,2,9.999800000000002
South East,90.3991,94.2324,3.833299999999994,1,6,2,13.833099999999996
South East,98.9657,102.399,3.4333000000000027,1,7,2,17.266399999999997
South East,119.965,121.932,1.9669999999999987,1,8,2,19.233399999999996
South East,125.932,126.465,0.5330000000000013,1,9,3,19.766399999999997
South East,163.665,164.232,0.5670000000000073,1,10,3,20.333400000000005
South East,183.165,183.732,0.5670000000000073,1,11,4,20.900400000000012
