marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,9.03325,10.3332,1.299949999999999,1,1,1,1.299949999999999
North West,11.1666,13.4665,2.299899999999999,1,2,1,3.599849999999998
North West,20.2331,24.8998,4.666699999999999,1,3,1,8.266549999999997
North West,25.5331,29.533,3.9999000000000002,1,4,1,12.266449999999997
North West,34.6663,36.2663,1.6000000000000014,1,5,1,13.866449999999999
North West,53.5328,55.3328,1.7999999999999972,1,6,1,15.666449999999996
North West,56.4661,57.8327,1.3666000000000054,1,7,1,17.033050000000003
North West,83.3992,84.2325,0.8333000000000084,1,8,2,17.86635000000001
North West,96.1657,99.9657,3.799999999999997,1,9,2,21.66635000000001
North West,103.599,105.732,2.1329999999999956,1,10,2,23.799350000000004
North West,108.466,112.399,3.933000000000007,1,11,2,27.73235000000001
North West,113.032,113.966,0.9339999999999975,1,12,2,28.66635000000001
North West,142.332,153.732,11.400000000000006,1,13,3,40.066350000000014
North West,159.232,160.332,1.0999999999999943,1,14,3,41.16635000000001
North West,163.665,164.098,0.43300000000002115,1,15,3,41.59935000000003
North West,196.231,197.531,1.3000000000000114,1,16,4,42.89935000000004
North West,237.898,240.398,2.5,1,17,4,45.39935000000004
North West,277.397,283.097,5.699999999999989,1,18,5,51.09935000000003
North West,290.03,291.03,1,1,19,5,52.09935000000003
North West,308.33,310.297,1.9670000000000414,1,20,6,54.06635000000007
South East,58.7994,61.666,2.8665999999999983,1,1,1,2.8665999999999983
South East,62.8994,70.0993,7.1998999999999995,1,2,2,10.066499999999998
South East,86.5325,93.0324,6.499899999999997,1,3,2,16.566399999999994
South East,94.8991,95.3324,0.4333000000000027,1,4,2,16.999699999999997
South East,126.299,136.032,9.733000000000004,1,5,3,26.7327
South East,173.732,175.298,1.5660000000000025,1,6,3,28.298700000000004
South East,198.298,199.465,1.1670000000000016,1,7,4,29.465700000000005
South East,222.898,223.464,0.5660000000000025,1,8,4,30.031700000000008
South East,247.798,249.898,2.0999999999999943,1,9,5,32.1317
South East,250.664,256.664,6,1,10,5,38.1317
South East,261.097,263.531,2.434000000000026,1,11,5,40.56570000000003
South East,266.031,270.797,4.7660000000000196,1,12,5,45.33170000000005
