marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,13.0999,14.2998,1.1998999999999995,1,1,1,1.1998999999999995
North West,32.3663,40.0996,7.7333,1,2,1,8.9332
North West,51.1328,58.0994,6.9666,1,3,1,15.899799999999999
North West,61.9661,62.666,0.6998999999999995,1,4,2,16.5997
North West,66.366,69.0327,2.666700000000006,1,5,2,19.266400000000004
North West,78.4326,80.4659,2.033300000000011,1,6,2,21.299700000000016
North West,82.6659,86.4325,3.766600000000011,1,7,2,25.066300000000027
North West,97.3657,98.3657,1,1,8,2,26.066300000000027
North West,101.299,104.299,3,1,9,2,29.066300000000027
North West,146.799,155.365,8.5660000000000025,1,10,3,37.63230000000003
North West,158.098,163.032,4.9339999999999975,1,11,3,42.56630000000003
North West,166.432,167.165,0.7330000000000041,1,12,3,43.29930000000003
North West,171.532,174.932,3.3999999999999773,1,13,3,46.69930000000001
North West,185.531,188.165,2.633999999999986,1,14,4,49.333299999999994
South East,9.7999,12.5999,2.8000000000000007,1,1,1,2.8000000000000007
South East,19.1665,22.2331,3.066600000000001,1,2,1,5.866600000000002
South East,26.5331,29.3664,2.8332999999999977,1,3,1,8.6999
South East,119.799,121.365,1.5659999999999883,1,4,2,10.265899999999988
South East,127.032,135.432,8.399999999999991,1,5,3,18.66589999999998
South East,137.599,138.499,0.9000000000000057,1,6,3,19.565899999999985
South East,139.432,145.732,6.300000000000011,1,7,3,25.865899999999996
South East,190.731,192.731,2,1,8,4,27.865899999999996
