marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,17.8332,21.7664,3.9331999999999994,1,1,1,3.9331999999999994
North West,31.4663,48.6995,17.2332,1,2,1,21.1664
North West,49.8602,51.2328,1.3725999999999985,1,3,1,22.538999999999998
North West,59.1994,59.9994,0.8000000000000043,1,4,1,23.339000000000002
North West,61.2661,61.8327,0.5666000000000011,1,5,2,23.905600000000003
North West,68.3993,70.066,1.6667000000000058,1,6,2,25.57230000000001
North West,93.4991,97.999,4.499899999999997,1,7,2,30.072200000000006
North West,161.832,162.265,0.4329999999999927,1,8,3,30.5052
North West,169.132,178.832,9.699999999999989,1,9,3,40.20519999999999
North West,188.398,194.465,6.067000000000007,1,10,4,46.2722
South East,10.0666,16.6332,6.566599999999999,1,1,1,6.566599999999999
South East,26.7664,28.2664,1.5,1,2,1,8.0666
South East,63.4994,64.6327,1.1332999999999984,1,3,2,9.199899999999998
South East,122.565,125.899,3.334000000000003,1,4,3,12.533900000000001
South East,142.065,145.499,3.4339999999999975,1,5,3,15.967899999999998
South East,147.199,151.398,4.198999999999984,1,6,3,20.166899999999984
