marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,14.8999,16.2665,1.3666,1,1,1,1.3666
North West,17.0332,17.7331,0.6998999999999995,1,2,1,2.0664999999999996
North West,72.466,74.9659,2.499900000000011,1,3,2,4.5664000000000105
North West,77.3992,77.7326,0.3334000000000117,1,4,2,4.899800000000022
North West,78.6659,80.7325,2.066600000000008,1,5,2,6.96640000000003
North West,109.599,111.266,1.6670000000000016,1,6,2,8.633400000000032
North West,112.099,117.732,5.632999999999996,1,7,2,14.266400000000028
North West,127.232,129.332,2.0999999999999943,1,8,3,16.36640000000002
North West,131.465,134.665,3.1999999999999886,1,9,3,19.56640000000001
North West,135.532,136.465,0.9329999999999927,1,10,3,20.4994
North West,137.099,139.165,2.0660000000000025,1,11,3,22.565400000000004
South East,8.96658,11.4666,2.5000199999999992,1,1,1,2.5000199999999992
South East,18.5331,23.3998,4.866699999999998,1,2,1,7.366719999999997
South East,29.033,29.7664,0.7333999999999996,1,3,1,8.100119999999997
South East,36.1663,42.7662,6.599899999999998,1,4,1,14.700019999999995
South East,53.7995,57.7328,3.9332999999999956,1,5,1,18.63331999999999
South East,87.6658,90.0991,2.4333000000000027,1,6,2,21.066619999999993
South East,91.5324,93.0324,1.5,1,7,2,22.566619999999993
South East,93.8991,96.5324,2.6332999999999913,1,8,2,25.199919999999985
South East,107.599,108.666,1.066999999999993,1,9,2,26.266919999999978
South East,189.031,192.465,3.4339999999999975,1,10,4,29.700919999999975
