marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,10.0332,12.5332,2.5,1,1,1,2.5
North West,43.4329,48.7328,5.299900000000001,1,2,1,7.799900000000001
North West,49.2995,53.2328,3.9332999999999956,1,3,1,11.733199999999997
North West,66.166,66.5327,0.3667000000000087,1,4,2,12.099900000000005
North West,94.5991,95.4324,0.8332999999999942,1,5,2,12.9332
North West,96.6657,98.0323,1.3666000000000054,1,6,2,14.299800000000005
North West,107.932,108.366,0.4339999999999975,1,7,2,14.733800000000002
North West,130.465,132.965,2.5,1,8,3,17.233800000000002
North West,153.598,154.865,1.266999999999996,1,9,3,18.500799999999998
North West,156.098,162.432,6.333999999999975,1,10,3,24.834799999999973
North West,163.165,171.532,8.367000000000019,1,11,3,33.20179999999999
North West,175.432,178.998,3.5660000000000025,1,12,3,36.767799999999994
North West,193.798,199.865,6.067000000000007,1,13,4,42.8348
North West,200.731,203.098,2.3670000000000186,1,14,4,45.20180000000002
North West,208.798,211.798,3,1,15,4,48.20180000000002
North West,224.864,227.098,2.234000000000009,1,16,4,50.43580000000003
North West,228.364,230.864,2.5,1,17,4,52.93580000000003
North West,242.998,255.931,12.933000000000021,1,18,5,65.86880000000005
North West,298.797,303.864,5.06699999999995,1,19,5,70.9358
South East,23.4331,25.8664,2.433299999999999,1,1,1,2.433299999999999
South East,40.0996,42.0996,2,1,2,1,4.433299999999999
South East,54.1661,55.5994,1.4333000000000027,1,3,1,5.866600000000002
South East,61.8661,64.4327,2.566599999999994,1,4,2,8.433199999999996
South East,87.3658,88.0991,0.733300000000014,1,5,2,9.16650000000001
South East,111.932,115.799,3.8670000000000044,1,6,2,13.033500000000014
South East,116.432,118.432,2,1,7,2,15.033500000000014
South East,120.099,122.932,2.8329999999999984,1,8,3,17.866500000000013
South East,135.599,137.365,1.7660000000000196,1,9,3,19.632500000000032
South East,140.732,142.465,1.733000000000004,1,10,3,21.365500000000036
South East,150.532,151.732,1.1999999999999886,1,11,3,22.565500000000025
South East,184.298,191.865,7.567000000000007,1,12,4,30.132500000000032
South East,204.998,207.165,2.1670000000000016,1,13,4,32.29950000000004
South East,309.097,309.797,0.7000000000000455,1,14,6,32.99950000000008
South East,310.297,311.03,0.7329999999999472,1,15,6,33.73250000000003
