marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,24.3998,26.5331,2.133300000000002,1,1,1,2.133300000000002
North West,56.2328,57.9661,1.7332999999999998,1,2,1,3.866600000000002
North West,71.8993,75.0326,3.1333000000000055,1,3,2,6.999900000000007
North West,75.8326,78.8992,3.066599999999994,1,4,2,10.066500000000001
North West,108.366,114.466,6.099999999999994,1,5,2,16.166499999999996
North West,146.665,147.299,0.6340000000000146,1,6,3,16.80050000000001
North West,160.465,164.532,4.067000000000007,1,7,3,20.867500000000017
North West,176.165,179.165,3,1,8,3,23.867500000000017
North West,180.365,186.231,5.8659999999999854,1,9,4,29.733500000000003
North West,249.731,250.298,0.5670000000000073,1,10,5,30.30050000000001
North West,278.731,282.031,3.3000000000000114,1,11,5,33.600500000000025
North West,300.964,303.464,2.5,1,12,6,36.100500000000025
South East,8.8999,15.5999,6.699999999999999,1,1,1,6.699999999999999
South East,35.8997,42.4663,6.566599999999994,1,2,1,13.266599999999993
South East,66.7327,69.5993,2.8666000000000054,1,3,2,16.1332
South East,93.2324,101.232,7.999600000000001,1,4,2,24.1328
South East,124.899,132.532,7.63300000000001,1,5,3,31.76580000000001
South East,148.399,148.865,0.4660000000000082,1,6,3,32.23180000000002
South East,149.465,150.232,0.7669999999999959,1,7,3,32.99880000000002
South East,187.165,190.898,3.733000000000004,1,8,4,36.73180000000002
South East,193.098,206.165,13.066999999999979,1,9,4,49.7988
South East,207.031,207.965,0.9339999999999975,1,10,4,50.7328
South East,240.364,240.731,0.3669999999999902,1,11,5,51.09979999999999
South East,265.164,265.397,0.2330000000000041,1,12,5,51.33279999999999
South East,273.864,278.031,4.16700000000003,1,13,5,55.49980000000002
South East,288.364,289.397,1.0330000000000155,1,14,5,56.53280000000004
