marker_name,time_stamp,time_stamp2,bout_duration,new_bout,total_bouts,bin,total_bout_duration
North West,14.5332,15.8665,1.3332999999999995,1,1,1,1.3332999999999995
North West,55.5994,60.0327,4.433299999999996,1,2,1,5.766599999999995
North West,69.166,76.9659,7.799900000000008,1,3,2,13.566500000000003
North West,124.865,125.599,0.7340000000000089,1,4,3,14.300500000000012
North West,171.465,172.532,1.0670000000000073,1,5,3,15.36750000000002
North West,173.432,186.165,12.733000000000004,1,6,3,28.100500000000025
North West,199.031,200.998,1.9669999999999845,1,7,4,30.06750000000001
North West,229.931,232.231,2.299999999999983,1,8,4,32.36749999999999
North West,237.498,244.598,7.100000000000023,1,9,4,39.467500000000015
North West,255.031,256.431,1.3999999999999773,1,10,5,40.86749999999999
North West,263.931,270.031,6.100000000000023,1,11,5,46.967500000000015
South East,9.46658,13.4665,3.9999199999999995,1,1,1,3.9999199999999995
South East,21.8665,34.5996,12.733100000000004,1,2,1,16.733020000000003
South East,100.032,101.866,1.8340000000000032,1,3,2,18.567020000000007
South East,219.531,220.531,1,1,4,4,19.567020000000007
South East,257.931,260.297,2.3660000000000423,1,5,5,21.93302000000005
South East,261.864,262.864,1,1,6,5,22.93302000000005
South East,276.231,293.43,17.199000000000012,1,7,5,40.13202000000006
South East,294.43,304.097,9.666999999999973,1,8,5,49.799020000000034
South East,305.164,308.93,3.7660000000000196,1,9,6,53.565020000000054
